close, open, high, low, volume, atr14, psar, close_diff, ema_fast, ema_slow, ema_fast_diff, price_v_close, bar_time, position, alpha_imp1_ema_up, alpha_imp2_ema_pos_x, alpha_imp3_psar_up, alpha_imp4_close_up, alpha_imp6_price_v_close_thres, short_rev_imp1_rev_box, short_rev_imp2_ema_neg, short_rev_imp3_ema_neg_x, short_rev_imp4_close_neg, long_rev_imp1_rev_box, long_rev_imp2_ema_pos, long_rev_imp3_ema_pos_x, long_rev_imp4_close_pos, 
8.5700, 8.5800, 8.5900, 8.5600, 4300, 7.7514, 8.466352656, -0.010000000, 8.605744891, 8.622430777, -0.008936223, , 2019-08-15 10:00:00, FLAT, , , , , , , , , , , , , , , 
8.5500, 8.5500, 8.5500, 8.5500, 100, 7.7514, 8.470339129, -0.020000000, 8.594595913, 8.615532608, -0.011148978, , 2019-08-15 10:03:00, FLAT, , , , , , , , , , , , , , , 
8.5500, 8.5500, 8.5500, 8.5500, 0, 7.7514, 8.474285738, 0.000000000, 8.585676730, 8.609291407, -0.008919183, , 2019-08-15 10:06:00, FLAT, , , , , , , , , , , , , , , 
8.5500, 8.5500, 8.5500, 8.5500, 0, 7.7514, 8.478192881, 0.000000000, 8.578541384, 8.603644606, -0.007135346, , 2019-08-15 10:09:00, FLAT, , , , , , , , , , , , , , , 
8.5700, 8.5800, 8.5990, 8.5700, 500, 7.7514, 8.482060952, 0.020000000, 8.576833107, 8.600440358, -0.001708277, , 2019-08-15 10:12:00, FLAT, , , , , , , , , , , , , , , 
8.6400, 8.5800, 8.6400, 8.5800, 400, 7.7514, 8.485890342, 0.070000000, 8.589466486, 8.604207943, 0.012633379, , 2019-08-15 10:15:00, FLAT, , , , , , , , , , , , , , , 
8.7000, 8.7000, 8.7000, 8.7000, 300, 7.7514, 8.489681439, 0.060000000, 8.611573189, 8.613330996, 0.022106703, , 2019-08-15 10:18:00, FLAT, , , , , , , , , , , , , , , 
8.6400, 8.7000, 8.7000, 8.6200, 15200, 7.7514, 8.493434624, -0.060000000, 8.617258551, 8.615870901, 0.005685362, , 2019-08-15 10:21:00, FLAT, , , , , , , , , , , , , , , 
8.6400, 8.6400, 8.6400, 8.6400, 0, 7.7514, 8.497150278, 0.000000000, 8.621806841, 8.618168911, 0.004548290, , 2019-08-15 10:24:00, FLAT, , , , , , , , , , , , , , , 
8.6800, 8.6500, 8.7000, 8.6200, 10300, 7.7514, 8.500828775, 0.040000000, 8.633445473, 8.624057586, 0.011638632, , 2019-08-15 10:27:00, FLAT, , , , , , , , , , , , , , , 
8.7400, 8.7100, 8.7400, 8.6900, 10295, 7.7514, 8.504470488, 0.060000000, 8.654756378, 8.635099720, 0.021310905, , 2019-08-15 10:30:00, FLAT, , , , , , , , , , , , , , , 
8.6000, 8.7400, 8.7400, 8.6000, 8000, 7.7514, 8.508075783, -0.140000000, 8.643805102, 8.631756890, -0.010951276, , 2019-08-15 10:33:00, FLAT, , , , , , , , , , , , , , , 
8.6700, 8.6100, 8.6700, 8.6000, 17081, 7.7514, 8.511645025, 0.070000000, 8.649044082, 8.635399091, 0.005238980, , 2019-08-15 10:36:00, FLAT, , , , , , , , , , , , , , , 
8.6300, 8.6800, 8.6800, 8.6300, 9500, 7.7514, 8.515178575, -0.040000000, 8.645235266, 8.634884892, -0.003808816, , 2019-08-15 10:39:00, FLAT, , , , , , , , , , , , , , , 
8.6300, 8.6300, 8.6300, 8.6300, 0, 7.7514, 8.518676789, 0.000000000, 8.642188212, 8.634419664, -0.003047053, , 2019-08-15 10:42:00, FLAT, , , , , , , , , , , , , , , 
8.5600, 8.5400, 8.5600, 8.5400, 500, 7.7514, 8.522140021, -0.070000000, 8.625750570, 8.627332077, -0.016437642, , 2019-08-15 10:45:00, FLAT, , , , , , , , , , , , , , , 
8.7310, 8.5600, 8.7310, 8.4300, 30650, 7.7514, 8.865000000, 0.171000000, 8.646800456, 8.637205212, 0.021049886, , 2019-08-15 10:48:00, FLAT, , , , , , , , , , , , , , , 
8.7440, 8.5425, 8.7440, 8.4500, 1226, 7.7514, 8.860650000, 0.013000000, 8.666240365, 8.647376145, 0.019439909, , 2019-08-15 10:51:00, FLAT, , , , , , , , , , , , , , , 
8.4544, 8.4400, 8.4789, 8.4200, 2100, 7.7514, 8.856343500, -0.289600000, 8.623872292, 8.628997464, -0.042368073, , 2019-08-15 10:54:00, FLAT, , , , , , , , , , , , , , , 
8.4700, 8.4000, 8.4700, 8.4000, 400, 7.7514, 8.847616630, 0.015600000, 8.593097833, 8.613854849, -0.030774458, , 2019-08-15 10:57:00, FLAT, , , , , , , , , , , , , , , 
8.4700, 8.4700, 8.4700, 8.4700, 0, 7.7514, 8.834188131, 0.000000000, 8.568478267, 8.600154387, -0.024619567, , 2019-08-15 11:00:00, FLAT, , , , , , , , , , , , , , , 
8.3745, 8.2410, 8.3745, 8.2410, 800, 7.7514, 8.821162487, -0.095500000, 8.529682613, 8.578663493, -0.038795653, , 2019-08-15 11:03:00, FLAT, , , , , , , , , , , , , , , 
8.3745, 8.3745, 8.3745, 8.3745, 0, 7.7514, 8.797955988, 0.000000000, 8.498646091, 8.559219351, -0.031036523, , 2019-08-15 11:06:00, FLAT, , , , , , , , , , , , , , , 
8.7230, 8.4000, 8.7230, 8.3800, 2628, 7.7514, 8.775677748, 0.348500000, 8.543516873, 8.574817508, 0.044870782, , 2019-08-15 11:09:00, FLAT, , , , , , , , , , , , , , , 
8.6980, 8.3801, 8.7050, 8.3000, 1600, 7.7514, 8.754290638, -0.025000000, 8.574413498, 8.586549174, 0.030896625, , 2019-08-15 11:12:00, FLAT, , , , , , , , , , , , , , , 
